num_samples,epoch,excess_risk,rademacher,M,norm,batch_size,learning_rate
100,10,0.9449703097343445,12.71159839630127,2.107900857925415,2,512,0.002
100,20,0.7623769044876099,13.014799118041992,2.15817928314209,2,512,0.002
100,50,0.8781527280807495,14.818038940429688,2.4572014808654785,2,512,0.002
1000,10,1.029525876045227,3.8899941444396973,2.03985333442688,2,512,0.002
1000,20,0.9494326114654541,4.134481906890869,2.1680591106414795,2,512,0.002
1000,50,0.7922708988189697,5.922227382659912,3.105525493621826,2,512,0.002
10000,10,0.26904186606407166,4.568902492523193,7.576382160186768,2,512,0.002
10000,20,0.05623995512723923,8.345645904541016,13.839168548583984,2,512,0.002
10000,50,-0.010583244264125824,14.130013465881348,23.431095123291016,2,512,0.002
100000,10,-0.01961730793118477,6.0288262367248535,31.614242553710938,2,512,0.002
100000,20,-0.0269545279443264,6.2165679931640625,32.598731994628906,2,512,0.002
100000,50,-0.01810302585363388,6.1910929679870605,32.465145111083984,2,512,0.002
1000000,10,-0.024154365062713623,3.8512606620788574,63.86353302001953,2,512,0.002
1000000,20,-0.02239294722676277,4.796998500823975,79.54623413085938,2,512,0.002
